Fid,event_unique_id,occurrencedate,reporteddate,location_type,premises_type,Neighbourhood,Longitude,Latitude,Offence_Label
10.42.0.211-10.42.0.1-16906-53-17,GO-20221621901,2022/03/01 05:00:00+00,2022/03/01 05:00:00+00,Schools During Un-Supervised Activity,Educational,Newtonbrook West,-79.42879592,43.78305981,1
10.42.0.1-10.42.0.42-53-16788-17,GO-20221620235,2022/03/01 05:00:00+00,2022/03/01 05:00:00+00,"Streets, Roads, Highways (Bicycle Path, Private Road)",Outside,Danforth,-79.33727518,43.68042137,1
10.42.0.211-114.134.80.163-57192-443-6,GO-20221621683,2022/03/01 05:00:00+00,2022/03/01 05:00:00+00,"Apartment (Rooming House, Condo)",Apartment,Humber Summit,-79.55947089,43.75074185,0
10.42.0.211-31.13.69.195-56545-443-6,GO-20221623026,2022/03/01 05:00:00+00,2022/03/01 05:00:00+00,"Open Areas (Lakes, Parks, Rivers)",Outside,Englemount-Lawrence,-79.44063201,43.72782912,1
10.42.0.42-111.206.25.159-46340-80-6,GO-20221623316,2022/03/01 05:00:00+00,2022/03/01 05:00:00+00,"Streets, Roads, Highways (Bicycle Path, Private Road)",Outside,Bendale,-79.25089301,43.7544141,0
172.217.12.163-10.42.0.211-443-44040-6,GO-20221624600,2022/03/02 05:00:00+00,2022/03/02 05:00:00+00,Bar / Restaurant,Commercial,Waterfront Communities-The Island,-79.4026656,43.64392483,0
208.80.154.224-10.42.0.211-443-47231-6,GO-20221624299,2022/03/02 05:00:00+00,2022/03/02 05:00:00+00,"Streets, Roads, Highways (Bicycle Path, Private Road)",Outside,Mount Pleasant West,-79.39061698,43.70961667,1
10.42.0.211-121.12.98.62-41147-80-6,GO-20221626819,2022/03/02 05:00:00+00,2022/03/02 05:00:00+00,"Streets, Roads, Highways (Bicycle Path, Private Road)",Outside,Guildwood,-79.19920227,43.74750492,1
10.42.0.211-123.125.46.161-49632-80-6,GO-20221628734,2022/03/02 05:00:00+00,2022/03/02 05:00:00+00,Convenience Stores,Commercial,Pelmo Park-Humberlea,-79.53746202,43.72037837,0
172.217.12.206-10.42.0.151-443-37160-6,GO-20221628447,2022/03/02 05:00:00+00,2022/03/02 05:00:00+00,"Other Commercial / Corporate Places (For Profit, Warehouse, Corp. Bldg",Commercial,Bay Street Corridor,-79.38402022,43.65643576,1
157.240.18.36-10.42.0.42-443-56022-6,GO-20221629621,2022/03/03 05:00:00+00,2022/03/03 05:00:00+00,"Streets, Roads, Highways (Bicycle Path, Private Road)",Outside,Moss Park,-79.37352514,43.66094246,0
172.217.10.227-10.42.0.211-443-40737-6,GO-20221629348,2022/03/03 05:00:00+00,2022/03/03 05:00:00+00,"Streets, Roads, Highways (Bicycle Path, Private Road)",Outside,Victoria Village,-79.30343034,43.72668674,1
10.42.0.211-119.146.74.33-50805-443-6,GO-20221629980,2022/03/03 05:00:00+00,2022/03/03 05:00:00+00,"Apartment (Rooming House, Condo)",Apartment,Moss Park,-79.37008264,43.65616228,0
216.58.219.227-10.42.0.151-443-38221-6,GO-20221630175,2022/03/02 05:00:00+00,2022/03/03 05:00:00+00,"Apartment (Rooming House, Condo)",Apartment,Moss Park,-79.35696097,43.6547545,1
10.42.0.211-10.42.0.1-55671-53-17,GO-20221631680,2022/03/03 05:00:00+00,2022/03/03 05:00:00+00,"Apartment (Rooming House, Condo)",Apartment,Dufferin Grove,-79.42852157,43.65896544,0
172.217.11.14-10.42.0.151-443-54822-6,GO-20221631701,2022/03/03 05:00:00+00,2022/03/03 05:00:00+00,"Streets, Roads, Highways (Bicycle Path, Private Road)",Outside,Glenfield-Jane Heights,-79.51919844,43.7528724,0
172.217.10.78-10.42.0.151-443-42200-6,GO-20221631807,2022/03/03 05:00:00+00,2022/03/03 05:00:00+00,"Streets, Roads, Highways (Bicycle Path, Private Road)",Outside,Old East York,-79.32874138,43.69594155,0
10.42.0.211-104.254.66.16-47478-80-6,GO-20221631719,2022/03/03 05:00:00+00,2022/03/03 05:00:00+00,Schools During Supervised Activity,Educational,South Riverdale,-79.34941789,43.66615064,0
206.126.112.141-10.42.0.151-443-37248-6,GO-20221632946,2022/03/03 05:00:00+00,2022/03/03 05:00:00+00,"Streets, Roads, Highways (Bicycle Path, Private Road)",Outside,Keelesdale-Eglinton West,-79.47502356,43.69016583,0
10.42.0.211-36.110.210.167-55476-80-6,GO-20221632946,2022/03/03 05:00:00+00,2022/03/03 05:00:00+00,"Streets, Roads, Highways (Bicycle Path, Private Road)",Outside,Keelesdale-Eglinton West,-79.47502356,43.69016583,1
10.42.0.211-106.39.169.66-51882-80-6,GO-20221633157,2022/03/03 05:00:00+00,2022/03/03 05:00:00+00,"Streets, Roads, Highways (Bicycle Path, Private Road)",Outside,Clairlea-Birchmount,-79.28096318,43.71204501,1
10.42.0.211-104.43.254.159-54229-443-6,GO-20221633157,2022/03/03 05:00:00+00,2022/03/03 05:00:00+00,"Streets, Roads, Highways (Bicycle Path, Private Road)",Outside,Clairlea-Birchmount,-79.28096318,43.71204501,0
172.217.10.106-10.42.0.42-443-49651-6,GO-20221633157,2022/03/03 05:00:00+00,2022/03/03 05:00:00+00,"Streets, Roads, Highways (Bicycle Path, Private Road)",Outside,Clairlea-Birchmount,-79.28096318,43.71204501,0
172.217.12.170-10.42.0.211-443-33885-6,GO-20221633157,2022/03/03 05:00:00+00,2022/03/03 05:00:00+00,"Streets, Roads, Highways (Bicycle Path, Private Road)",Outside,Clairlea-Birchmount,-79.28096318,43.71204501,0
10.42.0.211-23.203.49.224-39841-443-6,GO-20221633138,2022/03/03 05:00:00+00,2022/03/03 05:00:00+00,"Streets, Roads, Highways (Bicycle Path, Private Road)",Outside,Clairlea-Birchmount,-79.28589258,43.71588716,1
10.42.0.211-23.206.166.62-42575-80-6,GO-20221633002,2022/03/03 05:00:00+00,2022/03/03 05:00:00+00,"Single Home, House (Attach Garage, Cottage, Mobile)",House,Thistletown-Beaumond Heights,-79.55258977,43.73658591,1
10.42.0.151-10.42.0.1-3790-53-17,GO-20221634500,2022/03/03 05:00:00+00,2022/03/03 05:00:00+00,Ttc Subway Station,Transit,Dovercourt-Wallace Emerson-Junction,-79.44300606,43.65922277,1
10.42.0.151-76.13.28.70-33298-443-6,GO-20221632907,2022/03/03 05:00:00+00,2022/03/03 05:00:00+00,"Apartment (Rooming House, Condo)",Apartment,Victoria Village,-79.30842382,43.73879902,1
10.42.0.42-104.97.95.172-57436-80-6,GO-20221633561,2013/08/09 04:00:00+00,2022/03/03 05:00:00+00,Schools During Un-Supervised Activity,Educational,Playter Estates-Danforth,-79.34958264,43.67801227,1
172.217.10.142-10.42.0.42-443-60830-6,GO-20221635104,2022/03/03 05:00:00+00,2022/03/04 05:00:00+00,"Commercial Dwelling Unit (Hotel, Motel, B & B, Short Term Rental)",Commercial,Bay Street Corridor,-79.38262593,43.65086783,0
10.42.0.211-54.192.38.154-53341-443-6,GO-20221635104,2022/03/03 05:00:00+00,2022/03/04 05:00:00+00,"Commercial Dwelling Unit (Hotel, Motel, B & B, Short Term Rental)",Commercial,Bay Street Corridor,-79.38262593,43.65086783,1
10.42.0.211-64.71.142.95-42886-443-6,GO-20221635820,2022/03/04 05:00:00+00,2022/03/04 05:00:00+00,Homeless Shelter / Mission,Other,Moss Park,-79.36941977,43.65452491,0
172.217.6.234-10.42.0.151-443-49966-6,GO-20221635543,2022/03/03 05:00:00+00,2022/03/04 05:00:00+00,"Streets, Roads, Highways (Bicycle Path, Private Road)",Outside,NSA,0,0,0
140.205.172.65-10.42.0.211-443-57261-6,GO-20221636329,2022/03/04 05:00:00+00,2022/03/04 05:00:00+00,"Streets, Roads, Highways (Bicycle Path, Private Road)",Outside,Mount Dennis,-79.49503606,43.68895689,0
10.42.0.42-123.125.115.164-53676-443-6,GO-20221636903,2022/02/27 05:00:00+00,2022/03/04 05:00:00+00,Schools During Supervised Activity,Educational,High Park North,-79.47137179,43.66030453,1
202.77.129.185-10.42.0.211-80-45813-6,GO-20221637671,2022/03/03 05:00:00+00,2022/03/04 05:00:00+00,"Open Areas (Lakes, Parks, Rivers)",Outside,Clairlea-Birchmount,-79.28589258,43.71588716,0
203.130.53.126-10.42.0.211-80-38980-6,GO-20221637671,2022/03/03 05:00:00+00,2022/03/04 05:00:00+00,"Open Areas (Lakes, Parks, Rivers)",Outside,Clairlea-Birchmount,-79.28589258,43.71588716,1
172.217.9.227-10.42.0.211-80-45047-6,GO-20221637671,2022/03/03 05:00:00+00,2022/03/04 05:00:00+00,"Open Areas (Lakes, Parks, Rivers)",Outside,Clairlea-Birchmount,-79.28589258,43.71588716,0
172.217.12.196-10.42.0.211-443-49324-6,GO-20221637671,2022/03/03 05:00:00+00,2022/03/04 05:00:00+00,"Open Areas (Lakes, Parks, Rivers)",Outside,Clairlea-Birchmount,-79.28589258,43.71588716,1
10.42.0.211-10.42.0.1-64029-53-17,GO-20221638870,2022/03/04 05:00:00+00,2022/03/04 05:00:00+00,"Single Home, House (Attach Garage, Cottage, Mobile)",House,Glenfield-Jane Heights,-79.51134996,43.75013528,0
172.217.11.46-10.42.0.151-443-58290-6,GO-20221638079,2022/03/04 05:00:00+00,2022/03/04 05:00:00+00,"Apartment (Rooming House, Condo)",Apartment,North St.James Town,-79.37575001,43.6696557,1
10.42.0.151-66.102.255.61-38991-80-6,GO-20221638079,2022/03/04 05:00:00+00,2022/03/04 05:00:00+00,"Apartment (Rooming House, Condo)",Apartment,North St.James Town,-79.37575001,43.6696557,1
10.42.0.151-31.13.71.7-59286-443-6,GO-20221640015,2022/03/04 05:00:00+00,2022/03/04 05:00:00+00,"Streets, Roads, Highways (Bicycle Path, Private Road)",Outside,Oakwood Village,-79.43656024,43.68186731,0
10.42.0.211-58.63.236.212-42038-443-6,GO-20221640618,2022/03/04 05:00:00+00,2022/03/04 05:00:00+00,"Streets, Roads, Highways (Bicycle Path, Private Road)",Outside,Church-Yonge Corridor,-79.38188491,43.65866815,1
10.42.0.1-10.42.0.42-53-2400-17,GO-20221639788,2022/03/04 05:00:00+00,2022/03/04 05:00:00+00,Convenience Stores,Commercial,Old East York,-79.35025076,43.69324182,0
10.42.0.42-42.236.125.112-33516-80-6,GO-20221639788,2022/03/04 05:00:00+00,2022/03/04 05:00:00+00,Convenience Stores,Commercial,Old East York,-79.35025076,43.69324182,0
10.42.0.42-64.71.142.96-41141-443-6,GO-20221641052,2022/03/04 05:00:00+00,2022/03/04 05:00:00+00,"Streets, Roads, Highways (Bicycle Path, Private Road)",Outside,Regent Park,-79.36296147,43.660087,1
10.42.0.1-10.42.0.42-53-19260-17,GO-20221641146,2022/03/04 05:00:00+00,2022/03/05 05:00:00+00,"Parking Lots (Apt., Commercial Or Non-Commercial)",Outside,Thistletown-Beaumond Heights,-79.56526553,43.7372381,1
222.73.28.96-10.42.0.211-80-58375-6,GO-20221641858,2022/03/05 05:00:00+00,2022/03/05 05:00:00+00,"Streets, Roads, Highways (Bicycle Path, Private Road)",Outside,Waterfront Communities-The Island,-79.38091602,43.64168463,0
205.204.101.182-10.42.0.211-443-49143-6,GO-20221642007,2022/03/05 05:00:00+00,2022/03/05 05:00:00+00,Bar / Restaurant,Commercial,Church-Yonge Corridor,-79.38638506,43.66936825,1
10.42.0.151-10.42.0.1-16011-53-17,GO-20221642069,2022/03/05 05:00:00+00,2022/03/05 05:00:00+00,Convenience Stores,Commercial,Long Branch,-79.52245531,43.59695537,0
219.142.78.162-10.42.0.151-80-54618-6,GO-20221644999,2022/03/05 05:00:00+00,2022/03/05 05:00:00+00,"Bank And Other Financial Institutions (Money Mart, Tsx)",Commercial,Trinity-Bellwoods,-79.42074205,43.64933335,1
10.42.0.211-10.42.0.1-58071-53-17,GO-20221644999,2022/03/05 05:00:00+00,2022/03/05 05:00:00+00,"Bank And Other Financial Institutions (Money Mart, Tsx)",Commercial,Trinity-Bellwoods,-79.42074205,43.64933335,0
10.42.0.151-10.42.0.1-6793-53-17,GO-20221645222,2022/03/05 05:00:00+00,2022/03/05 05:00:00+00,"Bank And Other Financial Institutions (Money Mart, Tsx)",Commercial,Dufferin Grove,-79.43532635,43.65988369,1
172.217.3.110-10.42.0.151-443-56652-6,GO-20221645222,2022/03/05 05:00:00+00,2022/03/05 05:00:00+00,"Bank And Other Financial Institutions (Money Mart, Tsx)",Commercial,Dufferin Grove,-79.43532635,43.65988369,0
10.42.0.42-123.125.29.220-49199-80-6,GO-20221645898,2022/03/05 05:00:00+00,2022/03/05 05:00:00+00,"Apartment (Rooming House, Condo)",Apartment,South Riverdale,-79.32688386,43.6658937,0
10.42.0.211-23.203.49.224-42376-443-6,GO-20221646592,2022/03/05 05:00:00+00,2022/03/05 05:00:00+00,"Apartment (Rooming House, Condo)",Apartment,Moss Park,-79.37008264,43.65616228,0
10.42.0.151-98.139.199.205-36368-443-6,GO-20221645721,2022/03/05 05:00:00+00,2022/03/05 05:00:00+00,"Streets, Roads, Highways (Bicycle Path, Private Road)",Outside,Briar Hill-Belgravia,-79.45023952,43.69569257,0
220.243.219.55-10.42.0.42-80-59608-6,GO-20221647131,2022/03/05 05:00:00+00,2022/03/05 05:00:00+00,"Streets, Roads, Highways (Bicycle Path, Private Road)",Outside,York University Heights,-79.50518654,43.75586174,0
220.243.219.55-10.42.0.211-80-55151-6,GO-20221647271,2022/03/05 05:00:00+00,2022/03/05 05:00:00+00,"Single Home, House (Attach Garage, Cottage, Mobile)",House,Scarborough Village,-79.22193745,43.73434865,1
10.42.0.211-64.71.142.125-58549-443-6,GO-20221647271,2022/03/05 05:00:00+00,2022/03/05 05:00:00+00,"Single Home, House (Attach Garage, Cottage, Mobile)",House,Scarborough Village,-79.22193745,43.73434865,1
209.85.201.188-10.42.0.151-5228-53409-6,GO-20221646952,2022/03/05 05:00:00+00,2022/03/05 05:00:00+00,"Streets, Roads, Highways (Bicycle Path, Private Road)",Outside,Flemingdon Park,-79.32961375,43.71531155,0
180.76.147.97-10.42.0.211-80-60005-6,GO-20221647672,2022/03/05 05:00:00+00,2022/03/06 05:00:00+00,Ttc Subway Train,Transit,North St.James Town,-79.37681431,43.67235839,0
8.0.6.4-8.6.0.1-0-0-0,GO-20221647942,2022/03/06 05:00:00+00,2022/03/06 05:00:00+00,Bar / Restaurant,Commercial,NSA,-79.57483162,43.76434476,0
10.42.0.42-40.127.169.165-59453-443-6,GO-20221650227,2022/03/06 05:00:00+00,2022/03/06 05:00:00+00,Schools During Supervised Activity,Educational,Kingsview Village-The Westway,-79.54863788,43.70132673,1
10.42.0.151-114.134.80.163-35156-443-6,GO-20221650437,2022/03/06 05:00:00+00,2022/03/06 05:00:00+00,Schools During Supervised Activity,Educational,South Riverdale,-79.34850134,43.66635646,1
10.42.0.151-103.7.30.118-56203-80-6,GO-20221650437,2022/03/06 05:00:00+00,2022/03/06 05:00:00+00,Schools During Supervised Activity,Educational,South Riverdale,-79.34850134,43.66635646,1
206.126.112.141-10.42.0.42-443-40754-6,GO-20221650437,2022/03/06 05:00:00+00,2022/03/06 05:00:00+00,Schools During Supervised Activity,Educational,South Riverdale,-79.34850134,43.66635646,1
10.42.0.151-10.42.0.1-13923-53-17,GO-20221652543,2022/03/06 05:00:00+00,2022/03/06 05:00:00+00,"Other Commercial / Corporate Places (For Profit, Warehouse, Corp. Bldg",Commercial,Bendale,-79.25417421,43.77664804,1
8.0.6.4-8.6.0.1-0-0-0,GO-20221652225,2022/03/06 05:00:00+00,2022/03/06 05:00:00+00,"Streets, Roads, Highways (Bicycle Path, Private Road)",Outside,Glenfield-Jane Heights,-79.50467878,43.73715091,0
203.205.151.213-10.42.0.151-8080-38720-6,GO-20221651107,2022/03/06 05:00:00+00,2022/03/06 05:00:00+00,"Other Commercial / Corporate Places (For Profit, Warehouse, Corp. Bldg",Commercial,Malvern,-79.20226134,43.79899981,1
180.149.134.221-10.42.0.211-80-45965-6,GO-20221651359,2022/03/06 05:00:00+00,2022/03/06 05:00:00+00,Ttc Subway Station,Transit,High Park North,-79.47548206,43.65128643,0
10.42.0.1-10.42.0.42-53-59051-17,GO-20221653194,2022/03/06 05:00:00+00,2022/03/06 05:00:00+00,"Parking Lots (Apt., Commercial Or Non-Commercial)",Outside,Dorset Park,-79.27489429,43.74949731,0
10.42.0.1-10.42.0.42-53-63423-17,GO-20221653036,2022/03/06 05:00:00+00,2022/03/06 05:00:00+00,"Streets, Roads, Highways (Bicycle Path, Private Road)",Outside,Dovercourt-Wallace Emerson-Junction,-79.43532635,43.65988369,0
180.149.153.234-10.42.0.151-80-44857-6,GO-20221653036,2022/03/06 05:00:00+00,2022/03/06 05:00:00+00,"Streets, Roads, Highways (Bicycle Path, Private Road)",Outside,Dovercourt-Wallace Emerson-Junction,-79.43532635,43.65988369,1
10.42.0.211-10.42.0.1-40858-53-17,GO-20221653708,2022/03/06 05:00:00+00,2022/03/06 05:00:00+00,"Streets, Roads, Highways (Bicycle Path, Private Road)",Outside,Englemount-Lawrence,-79.43455919,43.73122911,0
10.42.0.211-10.42.0.1-51704-53-17,GO-20221653746,2022/03/06 05:00:00+00,2022/03/06 05:00:00+00,"Other Commercial / Corporate Places (For Profit, Warehouse, Corp. Bldg",Commercial,Wexford/Maryvale,-79.31207065,43.74883538,1
239.255.255.250-10.42.0.42-1900-57206-17,GO-20221653746,2022/03/06 05:00:00+00,2022/03/06 05:00:00+00,"Other Commercial / Corporate Places (For Profit, Warehouse, Corp. Bldg",Commercial,Wexford/Maryvale,-79.31207065,43.74883538,0
172.217.3.35-10.42.0.42-443-47404-6,GO-20221654000,2022/03/06 05:00:00+00,2022/03/06 05:00:00+00,"Open Areas (Lakes, Parks, Rivers)",Outside,Englemount-Lawrence,-79.44063201,43.72782912,1
10.42.0.1-10.42.0.42-53-4524-17,GO-20221653736,2022/03/05 05:00:00+00,2022/03/06 05:00:00+00,"Streets, Roads, Highways (Bicycle Path, Private Road)",Outside,Mount Dennis,-79.50085239,43.6913029,0
182.22.25.252-10.42.0.211-443-57335-6,GO-20221653736,2022/03/05 05:00:00+00,2022/03/06 05:00:00+00,"Streets, Roads, Highways (Bicycle Path, Private Road)",Outside,Mount Dennis,-79.50085239,43.6913029,1
144.2.1.1-10.42.0.211-80-55371-6,GO-20221654152,2022/03/06 05:00:00+00,2022/03/06 05:00:00+00,Bar / Restaurant,Commercial,West Humber-Clairville,-79.60387564,43.74364194,1
180.76.150.180-10.42.0.211-80-39052-6,GO-20221654152,2022/03/06 05:00:00+00,2022/03/06 05:00:00+00,Bar / Restaurant,Commercial,West Humber-Clairville,-79.60387564,43.74364194,0
157.240.2.20-10.42.0.211-443-56466-6,GO-20221654152,2022/03/06 05:00:00+00,2022/03/06 05:00:00+00,Bar / Restaurant,Commercial,West Humber-Clairville,-79.60387564,43.74364194,1
172.217.6.234-10.42.0.211-443-55425-6,GO-20221653951,2022/03/06 05:00:00+00,2022/03/07 05:00:00+00,"Open Areas (Lakes, Parks, Rivers)",Outside,Clairlea-Birchmount,-79.27362461,43.71655016,0
10.42.0.211-10.42.0.1-59543-53-17,GO-20221653951,2022/03/06 05:00:00+00,2022/03/07 05:00:00+00,"Open Areas (Lakes, Parks, Rivers)",Outside,Clairlea-Birchmount,-79.27362461,43.71655016,0
203.205.151.212-10.42.0.151-80-47360-6,GO-20221653951,2022/03/06 05:00:00+00,2022/03/07 05:00:00+00,"Open Areas (Lakes, Parks, Rivers)",Outside,Clairlea-Birchmount,-79.27362461,43.71655016,1
172.217.3.99-10.42.0.151-443-59517-6,GO-20221654350,2022/03/06 05:00:00+00,2022/03/07 05:00:00+00,"Streets, Roads, Highways (Bicycle Path, Private Road)",Outside,Englemount-Lawrence,-79.43297406,43.73318202,1
10.42.0.151-23.208.147.183-48883-443-6,GO-20221654419,2022/03/07 05:00:00+00,2022/03/07 05:00:00+00,Bar / Restaurant,Commercial,Kensington-Chinatown,-79.39634181,43.64876464,0
10.42.0.211-119.6.229.36-42096-80-6,GO-20221654419,2022/03/07 05:00:00+00,2022/03/07 05:00:00+00,Bar / Restaurant,Commercial,Kensington-Chinatown,-79.39634181,43.64876464,1
239.255.255.250-10.42.0.151-1900-58127-17,GO-20221657033,2022/03/06 05:00:00+00,2022/03/07 05:00:00+00,"Streets, Roads, Highways (Bicycle Path, Private Road)",Outside,Islington-City Centre West,-79.52200305,43.6459276,0
10.42.0.211-77.234.42.92-57427-443-6,GO-20221658458,2022/03/07 05:00:00+00,2022/03/07 05:00:00+00,"Other Commercial / Corporate Places (For Profit, Warehouse, Corp. Bldg",Commercial,Clairlea-Birchmount,-79.28358861,43.7182347,1
